-4.895911484149177539e+00,3.515084149177122530e+00
-4.334366564572804670e+00,2.624703413968942911e-01
-4.137357651563924321e+00,2.443732503124514288e+00
-3.935349096014166825e+00,-2.428017094227477024e-01
-3.016592864779261696e+00,-2.757362764429867497e+00
-7.801491129518893786e-01,-7.234151453749059435e+00
-1.387328828361988897e-01,-9.454274416080220789e+00
1.614885252806623761e+00,-1.400076284805748195e+01
3.952033249039265783e+00,-1.943221666690743277e+01
4.259607625431435451e+00,-2.089481544434011795e+01
5.735908350311468951e+00,-2.287846541668824685e+01
5.878462039699597241e+00,-2.429968068431352890e+01
6.013710963444591329e+00,-2.573665993019729825e+01
6.122096186726640354e+00,-2.592247423621560998e+01
1.145228687235477949e+01,-3.777113446095241045e+01
1.214533459045917496e+01,-3.876876799003699858e+01
1.458194720885778395e+01,-4.583260541642386698e+01
1.478016593065911977e+01,-4.726607956280462730e+01
1.487813800661621855e+01,-4.732321120930970437e+01
1.499742685075645454e+01,-4.657773058713142689e+01
