11.783,9.1555,-0.58115,0.58062
16.082,-11.71,0.69816,0.66891
2.5083,22.517,0.54174,-5.2583
12.86,-4.1141,-1.5073,1.4882
11.057,10.09,-1.1837,-5.3667
5.6629,12.049,0.037662,-3.8125
8.5619,2.9208,-0.82983,-7.5724
11.136,9.7222,0.60702,-0.96126
21.868,-23.427,-1.9712,-4.8052
19.185,-10.828,-0.33294,-3.0938
5.5229,15.777,-0.59222,-5.2355
20.066,-13.643,0.96838,-5.6786
12.406,-18.129,-2.9028,4.3616
9.7909,12.208,-0.99894,2.0912
12.371,17.173,-0.92435,-4.1039
9.3202,17.892,-4.312,-8.3575
9.5883,16.234,0.76507,0.8647
14.941,-5.5892,2.9729,2.9181
14.673,-1.603,-1.3284,-5.4267
14.7,-1.1627,-0.59408,0.77635
12.227,3.5043,-1.657,-7.8458
5.9952,10.846,-0.45649,4.4526
12.379,-0.43064,-1.5372,-9.7851
15.407,-6.1731,-1.1439,-4.3124
11.621,0.33587,1.2884,3.3917
13.432,6.5596,-2.1982,-4.3974
12.411,22.536,-1.8144,-9.3187
8.9936,-0.17025,-1.1074,-0.034941
10.975,6.7193,-1.1873,-2.7274
7.3889,2.6738,1.0355,-2.7094
12.946,11.419,1.8726,2.678
6.1956,28.231,-2.3834,-2.5108
6.455,3.1262,-1.9065,3.048
7.3152,29.84,-0.26394,-2.2139
0.23491,22.434,-1.5384,-4.8053
14.771,-1.4678,1.8183,-0.4844
11.079,14.211,1.3135,-6.0646
7.4962,15.091,-0.20943,-0.046054
14.545,15.558,-0.2029,-8.7712
4.3235,43.359,-1.4786,-4.6329
9.6609,9.9041,0.07996,-2.3127
9.1992,-5.3095,0.59444,2.2577
11.059,2.5881,-0.79979,-12.097
11.038,-1.2133,1.7268,4.2035
7.1315,8.6838,-0.051575,-3.3382
9.9003,-0.75388,-1.1557,-7.6184
9.4532,9.9158,-0.47538,-2.2426
12.082,19.872,0.55082,0.11757
13.626,-6.2768,-1.5631,-5.2831
13.679,-2.9321,-1.1209,-8.1644
7.1356,24.069,2.3563,6.1257
10.257,17.062,-1.6702,-3.3361
5.9732,21.388,0.33833,-3.3896
6.3069,24.908,0.15706,2.8605
9.9773,14.995,1.2471,1.6159
15.083,-7.0579,-0.25611,-6.1825
7.4473,17.453,-4.4863,-6.1234
11.232,2.7041,-2.2057,-10.897
9.2518,2.5951,-0.2763,-5.5018
13.706,4.3006,-0.63545,-1.9393
6.388,17.075,1.7753,2.5576
10.108,6.2531,0.98883,0.22231
11.833,5.9941,-0.29737,-8.5013
13.65,7.2454,-0.88286,-0.047868
15.122,-0.97324,-3.1899,-2.006
10.285,8.8772,1.6349,4.911
5.053,21.923,-0.81046,-4.6498
7.5381,14.227,-3.1864,-7.6153
6.4791,10.148,-0.38725,-5.5312
17.796,-4.1541,-0.8544,-1.9331
7.9583,24.057,-1.8066,-3.3549
12.481,-2.122,-0.3027,-4.5703
9.3618,24.876,-2.0006,-1.3825
12.947,-0.37104,-2.9064,-2.9698
7.4633,12.053,-3.481,-4.493
5.3492,11.838,-1.5145,-6.3269
5.2825,12.834,-1.8868,-8.8693
11.619,-3.4238,-0.37753,0.1455
9.4117,12.212,-3.1251,-1.2798
9.3498,22.268,-1.2945,-7.8168
14.707,1.0784,-3.1286,-13.681
10.967,12.523,1.5594,5.7091
10.656,17.146,-1.1654,-3.4573
15.266,-24.372,0.73412,3.5953
7.3319,12.971,-0.30004,1.392
12.31,5.353,0.28495,-5.205
12.77,7.1711,-2.6323,-6.913
9.1917,-0.49112,0.77845,-3.1637
10.715,-1.709,1.0542,0.69061
6.1333,23.442,-3.9371,-3.4505
6.1927,16.07,-1.2496,-3.1845
10.348,11.587,-1.9222,-11.505
12.395,-5.3198,-0.77863,1.5212
18.575,-25.292,-2.2024,-4.7945
7.7882,19.296,-0.60537,-3.9664
10.621,16.044,-0.15558,-8.8656
9.7264,21.657,-0.65392,-1.2128
3.5889,10.94,-1.1674,-2.4196
8.5441,0.78441,-2.8235,-4.5871
4.0477,10.32,-0.91859,-6.5338
12.787,1.0799,-1.7367,-6.5812
7.0547,10.055,-2.8088,-8.8206
10.332,17.691,-1.0795,2.9426
8.194,0.6696,-1.2965,-6.2269
11.007,-8.2686,-0.72833,-3.2596
8.0089,14.343,0.40337,-3.9136
11.625,13.669,-0.18507,1.3109
12.452,-4.1958,0.84666,-0.27161
15.678,-15.509,-2.0314,-4.3002
9.3562,8.3314,-2.2227,-1.6483
2.9079,11.718,-1.1342,-0.91152
7.2154,14.72,0.95616,2.5996
14.493,3.9845,0.84368,-7.4669
6.4441,18.141,-1.1779,-2.5211
13.187,-14.753,-1.8441,-0.98933
10.411,2.7482,-3.1505,-5.0389
14.765,-5.6704,-0.049872,1.4834
